Income,Rent,Groceries,Transport,Eating_Out,Entertainment,Utilities
264.55,52.91,32.42,13.71,9.85,10.73,15.21
209.47,62.84,24.72,16.72,4.39,4.59,9.3
587.25,88.09,61.19,41.03,28.11,24.12,32.89
821.31,164.26,106.7,42.42,39.59,28.6,59.13
758.34,151.67,91.95,54.23,36.96,28.74,44.25
183.96,36.79,26.12,12.56,4.04,8.87,8.19
281.11,84.33,38.4,19.93,8.83,7.2,21.16
469.24,93.85,60.53,34.9,19.31,11.09,34.73
785.67,157.13,87.87,55.92,21.25,36.51,42.23
245.37,49.07,30.49,13.52,10.87,10.29,15.01
310.31,62.06,43.1,18.0,8.41,8.84,21.51
148.57,22.29,15.73,8.26,3.14,3.67,11.02
138.26,27.65,14.65,9.86,4.08,5.8,10.87
689.61,137.92,76.52,42.79,22.24,15.24,48.0
1065.39,319.62,153.75,55.29,29.39,26.02,46.22
339.85,101.95,42.63,21.95,12.22,16.3,17.85
803.46,160.69,119.56,50.99,27.35,30.71,48.96
480.78,144.23,69.37,32.15,24.01,10.38,23.45
214.86,42.97,23.96,16.63,10.15,10.34,12.96
480.69,72.1,71.76,35.69,22.25,15.43,34.44
1232.17,246.43,153.42,89.66,27.65,58.26,75.94
349.83,69.97,50.21,19.66,10.31,14.37,27.83
1258.68,377.6,155.81,97.19,40.98,46.68,96.27
44.27,13.28,6.52,2.7,1.81,2.04,2.93
694.8,208.44,95.31,43.95,33.8,27.46,48.78
385.96,77.19,48.78,19.68,17.9,8.71,20.52
283.41,56.68,38.26,19.71,9.37,7.86,15.94
387.42,116.23,43.14,30.33,7.86,9.36,15.56
73.41,14.68,10.48,4.24,3.0,2.34,5.44
301.98,60.4,34.32,17.1,13.09,11.62,23.86
479.04,95.81,62.12,26.74,22.54,13.71,25.27
1174.29,234.86,175.63,69.53,25.74,48.03,51.09
237.81,71.34,24.41,17.2,10.33,11.13,14.54
188.54,37.71,20.48,14.19,5.33,7.1,10.79
240.98,48.2,32.37,17.34,11.32,8.1,11.05
748.77,112.31,98.72,44.38,27.24,23.03,49.78
468.3,140.49,63.79,32.6,12.73,12.46,32.53
235.64,47.13,23.79,16.05,11.51,6.15,11.78
542.79,162.84,72.8,35.12,26.77,13.51,38.84
389.07,77.81,57.22,25.51,18.58,13.15,22.01
781.35,234.4,93.8,51.38,27.34,36.72,41.06
205.3,61.59,25.56,11.39,4.6,8.32,8.98
276.99,55.4,37.4,21.56,11.26,7.26,13.24
263.07,52.61,37.89,18.43,12.25,7.2,20.0
111.64,22.33,15.37,8.58,4.79,2.8,6.61
456.23,91.25,67.56,27.0,18.06,10.85,36.29
443.61,88.72,60.76,27.66,16.46,20.69,28.93
361.48,72.3,41.33,21.78,17.61,14.07,15.83
298.4,89.52,43.2,22.53,14.7,8.27,19.79
116.03,23.21,14.55,7.85,4.57,3.4,5.24
257.13,51.43,37.52,14.65,7.2,7.83,18.91
273.67,54.73,28.27,17.86,9.02,10.59,19.78
189.48,56.84,25.08,12.62,4.89,7.42,9.59
316.42,94.93,31.86,23.94,8.31,7.88,22.08
497.38,149.21,53.46,28.82,13.11,18.87,34.39
1627.91,488.37,187.45,94.53,32.97,41.77,85.01
413.96,62.09,56.7,22.47,8.33,8.49,26.71
442.37,66.36,53.51,23.98,19.48,11.91,17.88
339.19,67.84,41.43,18.0,11.47,14.81,18.64
77.56,23.27,8.9,3.94,1.62,3.41,3.58
352.44,52.87,50.11,19.98,15.83,8.63,15.7
377.77,75.55,55.98,21.81,12.76,13.79,25.34
2582.98,528.6405999999998,296.01079999999985,154.8612999999998,81.59,84.96259999999958,109.63
308.65,61.73,38.92,17.87,6.44,10.23,13.66
458.22,91.64,46.83,35.63,14.0,19.78,28.5
350.14,105.04,36.73,17.98,7.17,15.85,26.46
141.34,42.4,20.3,8.87,3.44,5.25,9.24
898.17,179.63,116.62,49.58,31.54,18.4,45.65
656.98,197.09,71.63,33.73,21.57,31.76,48.21
677.85,203.36,85.98,41.66,14.97,18.42,40.31
173.92,52.18,22.74,12.21,3.69,6.15,7.72
1105.82,165.87,157.98,85.32,43.56,35.84,85.88
117.29,23.46,15.6,5.98,3.0,3.47,6.39
575.7,115.14,71.49,42.71,27.66,15.2,41.25
2076.56,415.31,270.27,113.25,77.65,84.96259999999958,145.71
162.99,32.6,17.39,10.0,3.98,3.82,10.65
228.85,45.77,25.68,15.89,9.64,10.52,12.29
389.87,116.96,49.31,22.77,16.89,15.97,27.73
240.65,48.13,26.64,18.6,9.31,9.18,18.28
104.12,31.24,15.54,6.88,4.34,3.85,8.16
380.3,76.06,48.46,26.14,18.47,12.84,20.31
153.89,23.08,16.49,8.54,3.97,3.68,9.63
525.83,157.75,76.84,33.31,23.1,20.63,37.66
172.53,34.51,23.37,8.63,5.61,5.19,13.74
1243.96,373.19,126.81,81.0,41.57,54.82,72.93
192.39,28.86,22.73,12.48,7.45,6.6,9.33
278.23,55.65,33.75,17.16,9.02,10.52,21.07
690.16,103.52,87.28,46.81,14.83,30.62,49.9
134.48,26.9,15.57,9.75,3.07,3.98,10.25
431.85,129.55,58.77,22.31,18.22,11.16,18.16
1024.35,153.65,130.41,59.65,26.46,40.77,49.54
99.5,19.9,10.18,5.42,3.04,4.6,5.21
417.3,83.46,43.37,24.16,10.03,18.97,26.81
443.2,88.64,51.61,24.29,15.18,21.72,32.85
672.88,201.86,89.2,49.84,16.45,22.27,48.41
133.83,26.77,17.72,6.93,6.5,5.74,7.1
125.18,25.04,13.69,6.73,6.18,6.12,8.88
546.57,81.99,79.05,37.2,13.21,21.46,35.51
456.55,136.96,57.39,36.43,17.75,15.91,24.35
439.88,87.98,56.75,34.14,20.19,18.62,19.3
474.98,71.25,66.24,32.51,16.1,12.12,31.12
208.95,62.68,22.1,12.95,4.27,7.3,13.7
433.51,130.05,54.71,26.71,9.48,16.28,19.73
455.12,136.54,61.34,34.58,18.02,18.43,35.63
203.29,40.66,22.41,10.37,8.08,5.0,8.59
1601.54,320.31,174.03,93.99,63.17,46.71,109.21
525.93,78.89,77.21,28.52,18.95,15.27,41.38
138.8,27.76,19.29,7.79,6.69,4.71,9.4
608.71,121.74,61.68,31.88,24.59,20.82,42.16
165.07,24.76,19.83,9.53,3.32,6.07,6.9
675.72,202.71,73.77,38.68,25.35,30.7,48.38
909.58,181.92,105.35,52.57,37.3,39.46,40.12
186.71,37.34,21.35,10.59,5.38,4.26,8.33
778.06,233.42,116.68,44.15,33.07,15.79,43.26
500.86,75.13,74.52,37.32,20.98,11.28,29.75
694.89,138.98,72.59,49.97,18.8,26.12,37.35
1641.78,246.27,183.94,115.84,81.86,49.32,83.25
295.83,44.37,41.12,16.91,10.07,12.94,14.9
196.98,39.4,25.93,13.39,6.23,7.88,13.77
176.71,26.51,18.36,12.81,5.07,4.6,13.68
187.44,37.49,19.21,10.56,7.99,4.99,12.08
338.47,50.77,36.64,21.16,7.45,14.83,26.15
472.97,141.89,57.54,31.78,22.68,18.86,20.17
449.19,134.76,64.35,25.84,13.99,13.71,31.96
697.74,209.32,82.76,50.16,33.78,33.35,40.35
363.76,109.13,41.54,24.52,14.65,11.51,16.16
1151.63,230.33,132.42,68.13,42.87,26.65,87.91
291.31,87.39,38.28,17.73,13.49,7.66,15.72
3172.39,528.6405999999998,296.01079999999985,154.8612999999998,87.33179999999972,84.96259999999958,147.2611999999998
593.86,178.16,72.93,38.06,24.14,28.83,34.21
181.34,36.27,21.83,12.03,4.8,6.16,8.13
152.84,45.85,18.22,9.84,3.41,6.05,9.57
529.58,105.92,57.31,28.89,21.57,12.79,28.71
301.07,90.32,44.04,21.06,12.14,10.72,20.65
637.34,127.47,68.06,33.86,29.41,29.12,48.47
525.68,157.7,68.11,28.93,21.11,10.53,25.04
339.62,101.89,34.97,23.65,7.36,14.02,18.83
182.85,36.57,19.94,11.6,7.64,8.07,9.17
107.15,16.07,12.47,7.19,3.14,2.23,7.02
251.86,50.37,27.66,14.69,5.68,8.3,13.15
714.24,107.14,85.13,37.17,35.2,23.53,40.86
427.25,85.45,57.54,33.41,20.91,19.86,25.76
132.89,26.58,17.59,8.72,6.57,4.25,7.46
413.5,62.02,52.71,26.37,10.7,18.82,23.29
489.98,98.0,56.43,38.23,14.27,13.0,22.25
177.51,53.25,25.25,14.11,8.8,3.63,8.27
407.11,61.07,58.19,21.03,16.18,11.79,30.67
377.16,113.15,41.86,22.47,11.74,17.83,16.69
144.28,28.86,21.41,9.97,5.49,4.19,10.37
479.3,143.79,51.86,36.81,22.11,13.17,32.02
563.82,169.15,63.67,38.08,23.45,12.47,39.9
856.24,171.25,116.76,68.09,24.82,24.04,67.64
836.43,250.93,113.87,58.93,19.46,17.25,37.26
119.58,17.94,13.37,6.02,4.63,2.86,5.03
170.01,34.0,21.41,11.0,3.54,7.75,11.79
543.56,108.71,55.08,42.76,11.46,19.38,25.22
543.01,108.6,69.92,30.08,18.17,20.34,34.57
543.56,108.71,79.49,42.44,22.77,15.38,31.72
7850.16,528.6405999999998,296.01079999999985,154.8612999999998,87.33179999999972,84.96259999999958,147.2611999999998
568.39,113.68,57.25,43.99,11.53,15.46,41.2
892.97,133.95,124.14,60.99,44.02,18.9,52.95
772.25,115.84,113.68,47.13,22.06,21.96,44.08
606.2,181.86,68.98,46.87,27.3,29.27,34.42
279.75,41.96,40.4,14.72,10.67,7.17,17.72
660.69,132.14,81.11,47.67,21.79,29.4,40.02
194.0,29.1,27.08,13.15,6.2,7.85,11.77
297.87,59.57,34.28,18.28,12.93,14.71,21.23
244.16,48.83,35.76,16.13,7.99,9.23,15.31
384.37,115.31,39.82,28.01,14.96,13.04,29.4
2293.49,458.7,296.01079999999985,122.73,87.33179999999972,52.7,143.59
80.83,16.17,9.44,4.68,2.56,3.25,6.36
623.35,124.67,62.47,38.29,13.76,16.81,47.49
99.08,19.82,11.38,7.13,2.23,2.57,5.51
246.8,49.36,34.69,19.02,11.28,6.69,19.08
860.29,172.06,90.15,67.09,22.62,23.88,49.29
379.0,56.85,50.49,23.27,16.26,16.66,16.75
152.0,22.8,21.69,9.69,3.63,5.3,7.64
203.13,40.63,23.45,15.69,9.81,9.48,9.94
620.04,93.01,75.59,32.04,14.41,28.47,33.6
200.7,40.14,20.19,14.45,4.07,6.64,14.04
428.06,85.61,47.46,29.06,18.25,12.85,32.59
373.37,112.01,41.04,20.71,17.37,11.24,21.16
213.75,32.06,30.31,15.82,6.8,5.04,12.23
2000.71,400.14,289.32,104.54,41.73,76.36,89.06
597.79,179.34,75.87,32.15,27.37,12.91,39.23
71.24,14.25,9.2,4.73,2.15,3.04,3.85
417.91,83.58,43.19,24.75,20.31,9.93,17.92
212.02,31.8,27.09,11.28,9.3,9.32,16.22
711.98,142.4,80.32,50.54,26.77,32.75,32.86
190.96,38.19,22.74,10.46,7.85,5.86,9.61
328.43,65.69,40.54,26.08,12.77,11.69,14.73
539.2,107.84,69.66,42.13,22.37,14.27,29.56
719.61,215.88,90.44,44.73,25.7,25.16,52.98
137.81,27.56,14.64,9.98,5.2,4.98,7.99
275.48,41.32,34.27,20.44,9.47,6.08,13.78
246.2,73.86,28.03,16.44,7.7,7.12,17.97
213.46,32.02,30.69,15.86,4.46,10.33,13.33
1478.03,295.61,159.76,109.17,34.32,53.7,75.61
497.75,149.32,66.03,39.63,11.52,11.32,31.35
131.29,39.39,18.39,7.7,4.52,4.8,7.79
750.24,225.07,78.09,57.25,32.78,29.81,52.44
1966.14,393.23,251.35,137.78,79.96,63.86,113.62
822.28,246.68,91.94,45.39,21.55,36.07,65.52
106.76,32.03,11.66,5.85,4.57,4.55,5.3
244.38,48.88,27.35,17.99,11.35,6.69,15.3
991.91,198.38,115.87,61.74,31.3,33.94,51.76
204.38,40.88,29.0,15.6,7.93,7.69,14.04
513.45,154.04,59.32,33.59,19.06,22.2,38.78
669.02,200.71,99.9,39.62,31.86,21.27,40.59
171.5,34.3,17.22,12.97,7.64,5.78,7.49
343.26,68.65,48.43,26.57,7.99,8.51,16.94
26.93,5.39,2.9,1.73,1.35,0.55,1.24
158.63,31.73,21.98,10.26,7.48,7.22,8.82
294.14,44.12,38.73,22.78,6.61,10.49,23.23
132.67,39.8,17.19,7.99,6.51,5.68,9.97
1328.8,265.76,146.9,91.77,28.4,43.28,97.47
114.66,22.93,15.51,5.88,5.03,3.63,8.44
253.17,75.95,31.61,20.25,9.76,12.45,13.37
399.69,79.94,58.4,21.61,13.36,18.99,27.92
1140.39,342.12,126.36,63.1,26.98,43.04,46.31
114.14,22.83,16.36,6.23,3.73,3.28,6.23
912.91,273.87,125.2,46.93,26.79,39.13,61.16
362.96,54.44,38.02,26.6,17.25,10.9,17.71
164.17,49.25,20.77,10.43,5.67,4.49,8.3
521.02,104.2,70.29,33.32,16.14,10.84,34.83
422.15,126.64,43.92,33.43,14.58,16.98,26.2
222.72,66.82,26.36,12.6,8.5,4.88,14.69
380.67,76.13,52.51,19.68,16.43,8.95,24.02
264.5,52.9,32.3,18.05,7.44,12.07,20.63
394.22,78.84,43.56,24.92,11.18,14.05,31.04
611.43,122.29,65.91,34.26,29.09,14.83,30.98
1280.39,192.06,181.04,82.26,42.34,31.79,83.67
133.73,26.75,13.82,7.44,4.4,6.04,8.36
1983.33,528.6405999999998,210.38,154.8612999999998,85.97,60.59,83.46
75.52,11.33,10.71,5.8,2.05,3.32,3.43
318.84,47.83,42.59,20.94,8.11,10.4,17.65
576.37,115.27,64.43,36.59,25.7,12.51,30.45
450.74,135.22,48.82,26.35,14.67,14.2,23.52
218.75,65.63,23.1,15.69,8.21,9.5,10.38
304.78,60.96,31.22,16.5,6.77,15.18,24.06
242.67,48.53,26.83,17.5,8.42,5.68,18.22
224.67,67.4,31.09,14.31,6.65,5.68,9.44
710.37,142.07,92.87,47.56,24.58,34.67,56.75
479.01,143.7,65.12,33.83,18.94,22.4,19.68
206.81,31.02,30.75,14.87,5.29,8.29,9.02
739.36,147.87,89.7,52.05,25.07,23.27,49.04
460.33,69.05,67.34,27.27,20.72,18.46,21.44
689.79,137.96,71.63,37.57,20.58,16.21,31.86
595.74,119.15,83.05,35.12,14.49,13.11,28.06
185.47,55.64,24.31,10.24,6.38,8.31,14.82
229.97,45.99,30.35,17.43,5.09,7.24,13.64
654.54,196.36,65.51,34.0,15.71,27.61,40.45
586.63,88.0,64.63,39.4,15.18,17.83,38.76
354.03,106.21,52.29,27.5,16.74,16.99,26.4
395.43,59.31,52.42,31.33,15.81,18.46,22.92
1000.48,200.1,145.82,76.6,22.4,38.45,53.44
224.27,67.28,24.02,14.58,6.3,8.9,8.97
557.68,111.54,70.93,38.15,27.36,21.98,24.73
306.23,61.25,34.51,16.67,14.42,6.72,18.91
302.46,60.49,44.89,17.05,6.17,13.43,23.68
867.08,260.12,119.93,49.11,25.06,38.16,53.78
696.76,209.03,103.32,46.01,28.78,31.34,53.63
690.15,138.03,70.15,45.98,23.51,18.6,53.61
1022.99,204.6,113.81,57.79,42.82,42.18,44.23
366.1,54.92,53.37,20.4,17.95,14.96,26.02
621.21,124.24,67.05,45.13,16.24,18.04,33.71
280.87,84.26,37.53,16.12,7.75,9.87,21.75
466.58,139.98,68.23,31.5,21.63,12.09,36.74
324.4,97.32,32.63,18.24,6.5,11.02,14.44
389.05,77.81,49.31,25.4,13.02,9.76,15.96
579.54,86.93,75.56,39.77,16.87,25.18,25.27
187.08,37.42,25.95,14.83,8.58,4.23,11.23
1919.87,383.97,266.41,102.75,62.12,56.27,89.64
160.98,48.29,20.53,11.46,5.55,6.13,6.44
136.29,20.44,19.67,9.82,5.59,5.54,10.58
909.23,272.77,102.92,51.52,29.85,44.84,63.88
678.19,101.73,81.82,42.17,19.68,19.6,36.83
593.12,177.94,78.99,42.28,18.27,27.0,45.91
595.13,178.54,83.48,42.46,27.4,20.04,29.66
356.49,71.3,41.66,23.18,10.99,8.86,15.98
175.62,52.68,20.59,12.46,8.19,3.75,7.09
382.51,76.5,47.15,25.35,9.81,16.44,20.22
209.43,41.89,23.96,11.2,10.37,8.66,15.54
785.41,157.08,91.75,57.59,36.59,27.87,44.24
320.04,64.01,42.07,18.52,14.75,11.05,17.38
185.99,55.8,20.64,14.73,7.47,6.3,9.35
278.38,83.51,35.01,20.64,10.3,12.58,17.61
500.92,100.18,74.24,36.43,10.49,16.66,34.8
229.32,45.86,33.42,16.93,7.05,10.77,12.49
186.48,37.3,22.27,11.49,3.94,7.18,14.27
437.49,65.62,49.5,22.78,14.2,19.55,18.01
437.94,87.59,65.5,27.13,11.06,14.19,22.07
239.98,71.99,26.6,14.34,5.88,6.56,16.43
246.97,49.39,34.81,13.96,10.92,7.81,15.48
433.44,65.02,64.05,26.07,12.91,17.61,33.25
113.03,22.61,16.95,7.9,3.68,2.65,5.33
116.76,23.35,14.21,6.06,5.66,5.24,4.94
202.62,40.52,24.56,12.03,5.19,8.78,10.91
303.49,60.7,40.54,17.84,11.0,10.95,17.37
461.66,138.5,55.34,25.99,22.72,14.72,36.61
1171.91,351.57,130.98,90.16,58.4,52.42,65.23
714.96,142.99,82.38,54.1,15.74,35.43,35.92
316.76,63.35,33.02,22.06,7.7,14.39,25.16
354.56,53.18,39.59,26.33,17.01,9.27,28.19
161.43,48.43,17.64,11.5,7.54,5.19,11.35
354.71,106.41,43.67,18.47,9.54,11.14,23.7
285.77,85.73,42.56,21.28,12.69,13.42,20.32
466.04,93.21,62.42,29.71,18.32,13.64,28.28
185.73,37.15,20.33,12.11,5.74,3.89,8.77
545.43,109.09,79.31,43.29,13.44,20.4,32.61
1226.96,368.09,132.33,96.41,37.42,43.23,73.98
330.0,66.0,41.68,19.35,12.4,9.43,24.35
496.45,99.29,65.5,30.37,14.87,24.3,24.08
625.29,125.06,73.84,31.74,26.9,29.96,39.93
261.16,52.23,36.53,16.37,8.9,9.84,20.78
430.69,129.21,45.96,25.29,11.71,8.92,24.25
363.64,54.55,45.93,18.68,17.07,18.16,28.02
389.26,77.85,45.51,23.24,11.78,11.56,22.2
193.97,29.1,19.5,13.13,3.92,8.8,15.17
367.13,73.43,45.33,22.68,16.09,8.62,14.9
536.2,160.86,64.34,30.54,12.75,17.29,25.84
1149.43,229.89,125.29,60.05,55.32,40.49,73.58
775.51,155.1,92.29,57.5,16.63,17.09,61.99
2015.56,403.11,218.47,114.12,64.58,45.82,87.49
194.85,38.97,23.78,14.75,7.78,6.25,9.44
723.4,217.02,87.64,44.21,16.54,17.79,43.95
416.87,125.06,54.48,32.47,19.07,13.1,17.93
2075.48,528.6405999999998,236.18,154.8612999999998,87.33179999999972,84.96259999999958,147.2611999999998
188.57,28.29,20.73,12.57,8.62,5.64,15.04
183.89,55.17,24.96,12.13,5.29,8.43,7.44
222.87,44.57,31.04,13.55,5.0,4.59,10.44
65.82,13.16,6.75,5.06,2.91,2.01,4.61
236.39,47.28,29.82,13.88,10.97,11.29,18.44
196.13,29.42,24.32,13.29,5.84,7.47,10.27
406.03,121.81,49.5,27.9,15.16,12.53,24.23
473.2,141.96,47.86,37.08,20.37,22.4,34.45
1614.92,322.98,205.31,101.35,68.95,56.04,95.23
770.04,154.01,101.59,44.61,19.22,15.48,60.86
226.92,45.38,32.0,13.84,7.52,5.9,17.24
175.45,35.09,24.36,12.46,3.59,6.6,11.3
533.6,80.04,59.12,30.38,20.27,16.09,23.43
125.2,18.78,18.36,8.12,3.11,4.35,5.38
1558.18,233.73,162.1,80.06,74.54,42.36,118.83
924.87,184.97,117.95,63.16,26.33,26.16,55.32
247.34,74.2,27.49,16.05,8.43,6.0,11.24
91.43,27.43,12.26,5.85,2.53,2.22,5.8
1063.37,212.67,149.58,60.31,37.65,32.15,68.05
328.48,65.7,46.21,23.4,9.84,14.25,23.0
969.09,193.82,109.85,74.73,37.26,46.61,57.11
100.54,20.11,12.11,5.96,4.68,3.67,5.25
222.87,33.43,26.32,17.75,9.88,4.65,10.68
361.51,72.3,37.8,19.26,11.0,15.27,28.47
373.79,112.14,52.32,21.82,9.26,17.94,22.94
251.15,75.35,29.47,14.7,9.4,10.15,16.16
592.52,118.5,71.69,41.75,12.82,26.85,24.92
153.24,30.65,20.53,8.07,5.82,3.75,6.74
321.24,96.37,42.2,21.74,10.89,7.36,22.46
396.37,118.91,56.22,30.88,12.27,17.47,26.76
543.3,81.49,66.29,42.23,13.52,21.27,29.8
636.13,127.23,91.88,50.72,27.15,23.58,33.76
146.41,43.92,21.88,10.99,7.17,5.14,10.91
105.51,31.65,12.41,6.11,2.63,3.16,8.1
1000.49,150.07,108.24,54.98,31.24,46.51,70.79
469.63,70.45,50.9,24.33,12.59,10.99,20.36
197.81,39.56,23.61,11.85,9.87,9.55,15.13
1245.17,249.03,150.25,97.56,61.13,56.11,67.39
394.9,59.24,58.49,26.42,9.98,14.76,19.52
924.77,277.43,132.07,55.77,25.81,29.12,71.48
379.98,76.0,56.51,19.07,9.01,12.47,26.73
1871.89,528.6405999999998,241.12,125.9,72.78,61.77,122.89
1466.12,293.22,149.3,115.76,47.38,51.29,84.89
294.99,59.0,34.47,23.56,14.13,10.56,18.64
783.18,117.48,112.01,52.03,23.4,16.61,51.07
603.29,120.66,76.54,45.14,20.65,15.65,46.87
1076.0,161.4,140.97,57.65,46.2,40.63,50.17
166.36,33.27,21.77,13.27,4.72,5.89,11.55
623.25,186.97,92.67,41.21,13.94,24.43,34.71
839.53,125.93,106.38,51.7,29.58,34.8,65.21
88.16,17.63,11.9,5.39,3.16,2.47,4.5
139.7,27.94,14.65,10.38,5.85,6.16,8.39
70.44,21.13,8.62,5.49,2.63,2.08,3.04
290.2,58.04,41.95,22.97,12.48,9.49,22.79
639.15,191.74,86.94,43.42,30.13,27.49,34.71
1197.5,359.25,148.0,79.22,50.21,54.12,68.88
381.98,114.6,52.24,22.53,16.91,18.93,20.18
1324.77,264.95,140.76,93.77,34.09,61.62,91.54
119.35,23.87,16.74,6.49,3.03,4.28,9.54
92.15,18.43,12.93,7.35,2.92,4.32,3.73
344.35,103.31,47.87,26.36,8.19,13.06,25.31
489.49,97.9,62.36,33.55,17.55,11.05,31.52
350.71,70.14,35.71,22.07,13.31,9.05,16.8
68.87,20.66,9.68,5.21,1.99,2.58,2.97
335.23,100.57,34.38,22.9,16.71,11.58,14.16
126.79,25.36,18.79,9.77,5.52,6.01,7.16
615.14,123.03,81.29,37.46,26.38,28.61,43.9
482.69,144.81,48.66,36.49,18.96,18.85,22.4
169.73,50.92,17.88,8.51,4.56,3.81,10.06
238.65,71.6,31.41,13.25,6.21,6.91,10.11
154.27,30.85,23.12,11.36,3.84,3.82,7.99
342.39,51.36,35.77,25.1,14.9,7.8,21.54
772.95,154.59,79.92,49.06,23.75,27.17,45.88
163.62,49.08,21.9,9.03,4.32,5.8,8.32
538.8,107.76,70.61,27.77,25.38,18.23,25.21
235.54,35.33,33.78,14.11,10.51,4.97,12.28
190.91,28.64,27.32,13.2,3.96,4.3,8.74
330.46,49.57,43.48,20.41,9.4,12.41,23.87
157.26,31.45,18.08,11.93,5.14,5.06,12.46
231.18,46.24,31.11,12.33,6.11,5.82,10.56
138.08,20.71,15.08,7.83,4.69,4.82,5.67
1733.48,260.02,182.22,124.84,62.97,78.38,124.16
370.3,111.09,49.89,25.92,13.18,11.41,18.98
205.68,41.14,24.93,13.07,7.14,4.34,9.74
427.22,64.08,58.8,33.26,19.43,14.56,29.75
329.06,49.36,34.19,16.91,6.65,7.76,21.55
301.67,60.33,45.12,15.95,6.39,8.54,15.71
588.42,117.68,73.98,29.89,27.18,14.44,45.98
659.91,131.98,95.43,45.12,28.64,22.04,29.11
235.5,47.1,29.21,12.59,9.92,4.74,14.86
227.11,45.42,25.5,17.12,6.39,8.24,11.55
288.89,86.67,33.54,19.26,6.61,8.37,22.45
57.09,11.42,8.27,3.15,1.57,2.7,4.32
107.12,21.42,14.46,7.49,5.1,2.36,4.48
1074.49,214.9,117.74,76.57,31.72,29.03,75.05
1342.22,402.67,157.77,104.86,50.46,32.19,106.86
294.97,58.99,29.98,16.11,10.7,8.6,20.71
570.98,114.2,75.41,33.19,12.16,22.21,25.37
461.79,69.27,54.78,24.18,20.11,21.33,29.71
4226.83,528.6405999999998,296.01079999999985,154.8612999999998,87.33179999999972,84.96259999999958,147.2611999999998
881.62,176.32,124.51,69.97,18.87,35.32,47.3
324.98,97.49,39.52,18.18,8.56,15.74,16.63
167.62,50.28,23.02,12.89,5.54,6.08,10.14
99.58,29.87,12.95,7.32,4.52,4.82,7.57
423.64,63.55,52.32,23.13,12.99,16.68,32.59
196.57,39.31,20.68,13.75,7.59,5.05,10.39
115.39,23.08,15.17,6.19,4.11,3.82,5.5
214.61,42.92,27.44,13.2,6.58,7.77,12.99
151.54,45.46,22.64,11.06,3.53,4.56,9.16
1388.28,416.48,179.28,108.43,64.15,30.54,63.27
728.81,145.76,92.64,52.18,34.34,23.22,40.93
357.71,107.31,52.6,20.32,9.16,9.62,23.46
